,betas
644,1.043218285
645,1.043218285
646,1.043218285
647,1.043218285
648,1.043218285
649,1.043218285
650,1.043218285
651,1.043218285
652,1.043218285
653,1.043218285
654,1.043218285
655,1.043218285
656,1.043218285
657,1.043218285
658,1.043218285
659,1.043218285
660,1.043218285
661,1.043218285
662,1.043218285
663,1.043218285
664,1.043218285
665,1.043218285
666,1.043218285
667,1.043218285
668,1.043218285
669,1.043218285
670,1.043218285
671,1.043218285
672,1.043218285
673,1.043218285
674,1.043218285
675,1.043218285
676,1.043218285
677,1.043218285
678,1.043218285
679,1.043218285
680,1.043218285
681,1.043218285
682,1.043218285
683,1.043218285
684,1.043218285
685,1.043218285
686,1.043218285
687,1.043218285
688,1.043218285
689,1.043218285
690,1.043218285
691,1.043218285
692,1.043218285
693,1.043218285
694,1.043218285
695,1.043218285
696,1.043184389
697,1.043184389
698,1.043184389
699,1.043184389
700,1.043184389
701,1.043184389
702,1.043184389
703,1.043184389
704,1.043184389
705,1.043184389
706,1.043184389
707,1.043184389
708,1.043161105
709,1.043161105
710,1.043161105
711,1.043161105
712,1.043161105
713,1.043161105
714,1.043161105
715,1.043161105
716,1.043161105
717,1.043161105
718,1.043161105
719,1.043161105
720,1.043161105
721,1.043161105
722,1.043161105
723,1.043161105
724,1.043161105
725,1.043161105
726,1.043161105
727,1.043161105
728,1.043161105
729,1.043161105
730,1.043161105
731,1.043161105
732,1.043161105
733,1.043161105
734,1.043161105
735,1.043161105
736,1.043161105
737,1.043161105
738,1.043161105
739,1.043161105
740,1.043161105
741,1.043012063
742,1.043012063
743,1.043012063
744,1.043012063
745,1.043012063
746,1.043012063
747,1.043012063
748,1.043012063
749,1.043012063
750,1.043012063
751,1.043012063
752,1.043012063
753,1.043012063
754,1.043012063
755,1.043012063
756,1.043012063
757,1.043012063
758,1.042983019
759,1.042983019
760,1.042983019
761,1.042983019
762,1.042983019
763,1.042983019
764,1.042983019
765,1.042983019
766,1.042983019
767,1.042983019
768,1.042983019
769,1.042983019
770,1.042983019
771,1.042983019
772,1.042983019
773,1.042983019
774,1.042983019
775,1.042983019
776,1.042983019
777,1.042983019
778,1.042983019
779,1.042983019
780,1.042983019
781,1.042983019
782,1.042983019
783,1.042983019
784,1.042983019
785,1.042971369
786,1.042971369
787,1.042971369
788,1.042971369
789,1.042971369
790,1.042971369
791,1.042971369
792,1.042971369
793,1.042971369
794,1.042971369
795,1.042971369
796,1.042971369
797,1.042971369
798,1.042971369
799,1.042971369
800,1.042971369
801,1.042971369
802,1.042971369
803,1.042971369
804,1.042971369
805,1.04184454
806,1.04184454
807,1.04184454
808,1.04184454
809,1.04184454
810,1.04184454
811,1.04184454
812,1.04184454
813,1.04184454
814,1.04184454
815,1.04184454
816,1.04184454
817,1.04184454
818,1.04184454
819,1.04184454
820,1.041808706
821,1.041808706
822,1.041803514
823,1.041803514
824,1.041803514
825,1.041803514
826,1.041803514
827,1.041803514
828,1.041803514
829,1.041803514
830,1.041778345
831,1.041778345
832,1.041778345
833,1.041778345
834,1.041778345
835,1.041778345
836,1.041778345
837,1.041778345
838,1.041778345
839,1.041778345
840,1.041778345
841,1.041778345
842,1.041756445
843,1.041756445
844,1.041756445
845,1.041756445
846,1.041756445
847,1.041758024
848,1.041758024
849,1.041758024
850,1.041758024
851,1.041758024
852,1.041758024
853,1.041758024
854,1.041758024
855,1.041758024
856,1.04174333
857,1.04174333
858,1.04174333
859,1.04174333
860,1.04174333
861,1.04174333
862,1.04174333
863,1.04174333
864,1.04174333
865,1.04174333
866,1.04174333
867,1.04174333
868,1.04174333
869,1.04174333
870,1.04174333
871,1.04174333
872,1.04174333
873,1.04174333
874,1.04174333
875,1.04174333
876,1.04174333
877,1.04174333
878,1.04174333
879,1.04174333
880,1.04174333
881,1.04174333
882,1.04174333
883,1.04174333
884,1.04174333
885,1.041742011
886,1.041742011
887,1.041742011
888,1.041742011
889,1.041736678
890,1.041736678
891,1.041736678
892,1.041736678
893,1.041736678
894,1.041736678
895,1.041736678
896,1.041639603
897,1.041639603
898,1.041639603
899,1.041639603
900,1.041639603
901,1.041639603
902,1.041639603
903,1.041639603
904,1.041637695
905,1.041637695
906,1.041637695
907,1.041637695
908,1.041637695
909,1.041637695
910,1.041637695
911,1.041637695
912,1.041637695
913,1.041637695
914,1.041637695
915,1.041637695
916,1.041637695
917,1.041637695
918,1.041637695
919,1.041637695
920,1.041631189
921,1.041631189
922,1.041631189
